station_id;station_name;lat;lon;altitude;from_date;to_date;fed_state
13774;Crimmitschau-Mannichswalde;50.8138;12.2985;327;20080601;20190623;Sachsen
13776;Hildesheim-Drispenstedt;52.1789;9.9524;85;20080301;20110104;Niedersachsen
13777;Helmstedt-Emmerstedt;52.2467;10.9592;110;20080601;20190623;Niedersachsen
13778;Zweibrücken (Kläranlage);49.2525;7.3400;225;20081105;20190623;Rheinland-Pfalz
13779;Singhofen (Kläranlage);50.2696;7.8199;220;20081105;20190623;Rheinland-Pfalz
13780;Schallodenbach (WWV);49.5419;7.7179;310;20081105;20190623;Rheinland-Pfalz
13912;Nassau (Kläranlage);50.3158;7.7785;85;20081105;20190623;Rheinland-Pfalz
13918;Peterslahr (Kläranlage);50.6181;7.4780;160;20081105;20190623;Rheinland-Pfalz
13965;Balingen-Bronnhaupten;48.2639;8.8134;619;20081201;20190623;Baden-Württemberg
13968;Gerolstein/Kyll;50.2370;6.6611;420;20091001;20190623;Rheinland-Pfalz
14006;Mußbach (Neustadt);49.3683;8.1854;145;20120224;20190623;Rheinland-Pfalz
14007;Mainz (DLR RLP);49.9595;8.2360;153;20120213;20190623;Rheinland-Pfalz
14008;Rommersheim (DLR RLP);49.8228;8.1044;245;20160108;20190623;Rheinland-Pfalz
14009;Schifferstadt (DLR RLP);49.4010;8.3478;110;20161212;20190623;Rheinland-Pfalz
14010;Esch (DLR RLP);50.5582;7.0318;274;20160501;20190623;Rheinland-Pfalz
14011;Grenzau (DLR RLP);50.4528;7.6528;319;20160501;20190623;Rheinland-Pfalz
14013;Oppenheim (DLR RLP);49.8464;8.3460;128;20160107;20190623;Rheinland-Pfalz
14014;Kettenheim (DLR RLP);49.7271;8.1168;224;20160401;20190623;Rheinland-Pfalz
14015;Gondershausen (DLR RLP);50.1587;7.4972;388;20161001;20190623;Rheinland-Pfalz
14016;Kleinniedesheim (DLR RLP);49.5871;8.3414;98;20161202;20190623;Rheinland-Pfalz
14017;Herxheimweyher (DLR RLP);49.1581;8.2536;144;20161212;20190623;Rheinland-Pfalz
14018;Dackenheim (DLR RLP);49.5189;8.1847;180;20160701;20190623;Rheinland-Pfalz
14019;Lustadt (DLR RLP);49.2449;8.2912;129;20161212;20190623;Rheinland-Pfalz
14020;Münstermaifeld, Kr. Mayen-Koblenz;50.2558;7.3535;195;20160501;20190623;Rheinland-Pfalz
14021;Dienheim (DLR RLP);49.8270;8.3320;209;20161212;20190623;Rheinland-Pfalz
14022;Dienstweiler (DLR RLP);49.6353;7.2105;461;20160701;20190623;Rheinland-Pfalz
14023;Strickscheid (DLR RLP);50.1419;6.3126;476;20161201;20190623;Rheinland-Pfalz
14024;Wittlich, Kreisstadt;49.9678;6.8593;197;20161001;20190623;Rheinland-Pfalz
14025;Dreis-Brück (DLR RLP);50.2596;6.8020;526;20120224;20190623;Rheinland-Pfalz
14026;Isert (DLR RLP);50.7316;7.7002;312;20120224;20190623;Rheinland-Pfalz
14027;Berghausen (DLR RLP);50.2643;8.0072;372;20161001;20190623;Rheinland-Pfalz
14028;Martinshöhe (DLR RLP);49.3684;7.4688;411;20161001;20190623;Rheinland-Pfalz
14029;Wahlbach (DLR RLP);50.0005;7.5928;418;20161001;20190623;Rheinland-Pfalz
